Historian,Period
Ernst Steinmann,renaissance
Julian Kliemann,15th century
Julian Kliemann,baroque
Julian Kliemann,16th century
Julian Kliemann,mannerism
Julian Kliemann,17th century
Julian Kliemann,renaissance
Wolfgang Lotz,16th century
Wolfgang Lotz,17th century
Wolfgang Lotz,renaissance
Wolfgang Lotz,baroque
Richard Krautheimer,early christian art and architecture
Richard Krautheimer,renaissance
Richard Krautheimer,byzantine art
Richard Krautheimer,baroque
Luigi Salerno,17th century
Luigi Salerno,18th century
Luigi Salerno,baroque
Stefano Tumidei,baroque
Stefano Tumidei,15th century
Stefano Tumidei,16th century
Stefano Tumidei,neoclassicism
Stefano Tumidei,18th century
Stefano Tumidei,renaissance
Stefano Tumidei,17th century
Ulrich Middeldorf,cold war
Gustav Ludwig,15th century
Gustav Ludwig,16th century
John Pope-Hennessy,renaissance
John Pope-Hennessy,15th century
Luisa Vertova,19th century
Luisa Vertova,neoclassicism
Luisa Vertova,18th century
Luisa Vertova,renaissance
Luisa Vertova,17th century
Luisa Vertova,romanticism
Luisa Vertova,15th century
Luisa Vertova,16th century
Kurt Badt,16th century
Kurt Badt,baroque
Kurt Badt,mannerism
Kurt Badt,middle ages
Werner Cohn,renaissance
Werner Cohn,middle ages
Ernst Kitzinger,byzantine art
Ernst Kitzinger,middle ages
Ernst Kitzinger,early christian art and architecture
Ellis Waterhouse,mannerism
Ellis Waterhouse,baroque
Fritz Heinemann,baroque
Fritz Heinemann,15th century
Fritz Heinemann,16th century
Fritz Heinemann,mannerism
Fritz Heinemann,renaissance
Fritz Heinemann,17th century
Everett Fahy,15th century
Everett Fahy,renaissance
Everett Fahy,14th century
Everett Fahy,16th century
Aby Warburg,renaissance
Ulrich Middeldorf,renaissance
Korn̩l Fabriczy,renaissance
Federico Zeri,mannerism
Federico Zeri,renaissance
Federico Zeri,17th century
Federico Zeri,baroque
Federico Zeri,16th century
Federico Zeri,15th century
Federico Zeri,middle ages
Otto Lehmann-Brockhaus,middle ages
Julius S. Held,17th century
Julius S. Held,16th century
Leo Steinberg,modern art
Leo Steinberg,renaissance
