Country,Historian
Germany,Otto Lehmann-Brockhaus
Italy,Federico Zeri
Germany,Ernst Kitzinger
Germany,Richard Krautheimer
United States of America,Everett Fahy
Germany,Ernst Steinmann
Italy,Stefano Tumidei
Germany,Aby Warburg
Germany,Gustav Ludwig
Germany,Fritz Heinemann
Italy,Luigi Salerno
United States of America,Julius S. Held
Germany,Ulrich Middeldorf
Italy,Adolfo Venturi
Italy,Eugenio Battisti
Germany,Julian Kliemann
Germany,Wolfgang Lotz
Italy,Luisa Vertova
Germany,Kurt Badt
Germany,Werner Cohn
England,John Pope-Hennessy
England,Ellis Waterhouse
Russia,Leo Steinberg
Hungary,Korn̩l Fabriczy
